Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
76097000,00000175,false,Rx,1,8,31,31,31,31,3C,00,10,40,
76099000,00000100,false,Rx,1,8,00,00,00,00,00,00,60,CB,
76101000,000003D2,false,Rx,0,6,04,09,00,00,00,69,00,00,
76101001,00000126,false,Rx,1,8,11,10,16,10,10,10,10,1B,
76101010,0000041A,false,Rx,2,8,7E,0D,87,13,CB,CE,02,85,
76101017,0000041B,false,Rx,2,8,31,32,00,05,2F,75,02,63,
76101019,0000041C,false,Rx,2,8,F4,01,00,00,07,18,02,A9,
76101020,0000041D,false,Rx,2,8,45,25,10,27,00,02,02,65,
76101021,0000041E,false,Rx,2,8,00,00,00,00,02,6C,02,A8,
76102000,00000085,false,Rx,1,8,C7,10,00,50,00,00,40,5B,
76103000,00000136,false,Rx,1,8,10,10,12,10,0C,10,10,FF,
76105000,00000146,false,Rx,1,8,15,10,16,10,18,10,10,3A,
76106000,000003C3,false,Rx,0,6,00,0B,FF,FF,FF,F9,00,00,
76107000,00000156,false,Rx,1,8,0E,10,13,10,16,10,10,7E,
76109000,00000166,false,Rx,1,8,F8,C0,00,00,00,00,10,1E,
76111000,00000176,false,Rx,1,8,32,32,32,32,3D,00,10,49,
76113000,00000117,false,Rx,1,8,11,00,00,00,00,00,00,00,
76115000,00000107,false,Rx,1,8,00,00,00,00,00,00,90,92,
76115003,00000086,false,Rx,1,8,C7,10,00,50,00,00,40,F4,
76116000,000003C3,false,Rx,0,6,00,0C,FF,FF,FF,F6,00,00,
76117000,00000106,false,Rx,1,8,00,00,00,00,00,00,90,F7,
76119000,00000105,false,Rx,1,8,00,00,00,00,00,00,90,58,
76121000,00000127,false,Rx,1,8,F8,0F,F8,0F,F4,0F,10,97,
76123000,00000137,false,Rx,1,8,F5,0F,F7,0F,F4,0F,10,13,
76125001,00000102,false,Rx,1,8,00,00,00,00,00,00,90,7E,
76126000,000003C3,false,Rx,0,6,00,0D,FF,FF,FF,EF,00,00,
76127000,00000147,false,Rx,1,8,F6,0F,F2,0F,F7,0F,10,FD,
76128001,00000087,false,Rx,1,8,C7,10,00,50,00,00,40,91,
76129000,00000157,false,Rx,1,8,F7,0F,F7,0F,F6,0F,10,EE,
76131000,00000103,false,Rx,1,8,00,00,00,00,00,00,90,1B,
76133000,00000101,false,Rx,1,8,00,00,00,00,00,00,90,D1,
76135000,00000177,false,Rx,1,8,32,32,31,31,40,00,10,E5,
76136000,000003C3,false,Rx,0,6,00,0E,FF,FF,FF,EB,00,00,
76137000,00000111,false,Rx,1,8,11,00,00,00,00,00,00,00,
76139000,00000121,false,Rx,1,8,18,10,1A,10,16,10,20,3F,
76141001,00000131,false,Rx,1,8,18,10,13,10,13,10,20,B5,
76141004,00000080,false,Rx,1,8,C7,10,00,50,00,00,50,7A,
76143000,000001D0,false,Rx,1,8,22,22,22,22,22,22,29,92,
76145000,00000141,false,Rx,1,8,17,10,17,10,15,10,20,03,
76146000,000003C3,false,Rx,0,6,00,0F,FF,FF,FF,F4,00,00,
76147000,00000151,false,Rx,1,8,17,10,19,10,13,10,20,0E,
76149000,00000161,false,Rx,1,8,32,C1,00,00,00,00,20,23,
76151000,00000112,false,Rx,1,8,11,00,00,00,00,00,00,00,
76153000,00000122,false,Rx,1,8,0F,10,14,10,0F,10,20,2A,
76154001,00000081,false,Rx,1,8,C7,10,00,50,00,00,50,1F,
76155000,00000100,false,Rx,1,8,00,00,00,00,00,00,70,06,
76156000,000003C3,false,Rx,0,6,00,00,FF,FF,FF,F2,00,00,
76157000,00000132,false,Rx,1,8,0A,10,0A,10,0D,10,20,FB,
76159000,00000142,false,Rx,1,8,10,10,0F,10,0F,10,20,AC,
76161001,00000152,false,Rx,1,8,0C,10,10,10,14,10,20,BA,
76163000,00000162,false,Rx,1,8,D1,C0,00,00,00,00,20,3D,
76165000,000001D6,false,Rx,1,8,22,22,22,22,22,22,29,92,
76166000,000003C3,false,Rx,0,6,00,01,FF,FF,FF,E7,00,00,
76167000,000001D5,false,Rx,1,8,22,22,22,22,22,22,29,92,
76167002,00000082,false,Rx,1,8,C7,10,00,50,00,00,50,B0,
76169000,00000171,false,Rx,1,8,32,32,32,32,3D,00,20,25,
76171000,000001D3,false,Rx,1,8,22,22,22,22,22,22,29,92,
76173000,00000113,false,Rx,1,8,11,00,00,00,00,00,00,00,
76175000,00000133,false,Rx,1,8,15,10,EC,0F,16,10,20,B2,
76176000,000003C3,false,Rx,0,6,00,02,FF,FF,FF,ED,00,00,
76177000,00000106,false,Rx,1,8,00,00,00,00,00,00,A0,BD,
76179000,000001D1,false,Rx,1,8,22,22,22,22,22,22,29,92,
76180000,00000083,false,Rx,1,8,C7,10,00,50,00,00,50,D5,
76181001,000001C0,false,Rx,1,8,22,22,22,22,25,22,42,22,
76183000,00000102,false,Rx,1,8,00,00,00,00,00,00,A0,34,
76185000,00000103,false,Rx,1,8,00,00,00,00,00,00,A0,51,
76186000,000003C3,false,Rx,0,6,00,03,FF,FF,FF,FA,00,00,
76187000,00000101,false,Rx,1,8,00,00,00,00,00,00,A0,9B,
76189000,00000173,false,Rx,1,8,32,32,32,32,40,00,20,22,
76189003,00000437,false,Rx,2,8,01,00,00,00,6C,02,0B,99,
76191000,000001C6,false,Rx,1,8,22,22,22,22,25,22,42,22,
76193000,000001C7,false,Rx,1,8,22,22,22,22,25,22,42,22,
76193002,00000084,false,Rx,1,8,C7,10,00,50,00,00,50,F3,
76195000,00000115,false,Rx,1,8,11,00,00,00,00,00,00,00,
76196000,000003C3,false,Rx,0,6,00,04,FF,FF,FF,F8,00,00,
76197000,000001C5,false,Rx,1,8,22,22,22,22,25,22,42,22,
76199000,00000125,false,Rx,1,8,19,10,1E,10,1B,10,20,DB,
76201000,000003D2,false,Rx,0,6,04,0A,00,00,00,69,00,00,
76201001,000001C2,false,Rx,1,8,22,22,22,22,25,22,42,22,
76201008,0000041A,false,Rx,2,8,7E,0D,87,13,CB,CE,03,02,
